[2017-10-21 17:48:59 341] [INFO ] [exp.qw.utils.SinaWeiboUtils] [48]- 正在打开登陆页面: [https://passport.weibo.cn/signin/login?entry=mweibo&res=wel&wm=3349&r=http%3A%2F%2Fpad.weibo.cn%2F]
[2017-10-21 17:49:19 813] [INFO ] [exp.qw.utils.SinaWeiboUtils] [48]- 正在打开登陆页面: [https://passport.weibo.cn/signin/login?entry=mweibo&res=wel&wm=3349&r=http%3A%2F%2Fpad.weibo.cn%2F]
[2017-10-21 17:50:15 410] [INFO ] [exp.qw.utils.SinaWeiboUtils] [48]- 正在打开登陆页面: [https://passport.weibo.cn/signin/login?entry=mweibo&res=wel&wm=3349&r=http%3A%2F%2Fpad.weibo.cn%2F]
[2017-10-21 17:50:17 173] [INFO ] [exp.qw.utils.SinaWeiboUtils] [87]- 填写用户名 [play00002@126.com]
[2017-10-21 17:50:17 686] [INFO ] [exp.qw.utils.SinaWeiboUtils] [91]- 填写密码 [*********]
[2017-10-21 17:50:18 192] [INFO ] [exp.qw.utils.SinaWeiboUtils] [95]- 点击 [登陆按钮], 等待登陆...
[2017-10-21 17:50:19 571] [INFO ] [exp.qw.utils.SinaWeiboUtils] [62]- 正在保存本次登陆的Cookies...
[2017-10-21 17:50:19 588] [INFO ] [exp.qw.utils.SinaWeiboUtils] [112]- 开始爬取微博相册专辑: [http://photo.weibo.com/3064280845/albums].
[2017-10-21 17:50:19 589] [INFO ] [exp.qw.utils.SinaWeiboUtils] [169]- 开始获取专辑下所有相册地址...
[2017-10-21 17:50:20 517] [INFO ] [exp.qw.utils.SinaWeiboUtils] [180]- 正在等待页面加载相册地址...
[2017-10-21 17:50:20 737] [INFO ] [exp.qw.utils.SinaWeiboUtils] [186]- 正在获取相册地址...
[2017-10-21 17:50:20 871] [INFO ] [exp.qw.utils.SinaWeiboUtils] [196]- 相册 [头像相册] 地址: [http://photo.weibo.com/3064280845/albums/detail/album_id/3573512371651105].
[2017-10-21 17:50:20 933] [INFO ] [exp.qw.utils.SinaWeiboUtils] [196]- 相册 [微博配图] 地址: [http://photo.weibo.com/3064280845/talbum/index].
[2017-10-21 17:50:20 994] [INFO ] [exp.qw.utils.SinaWeiboUtils] [196]- 相册 [默认专辑] 地址: [http://photo.weibo.com/3064280845/albums/detail/album_id/4072955377259487].
[2017-10-21 17:50:21 023] [WARN ] [exp.qw.utils.SinaWeiboUtils] [204]-  - 相册 [默认专辑] 内无图片.
[2017-10-21 17:50:21 023] [INFO ] [exp.qw.utils.SinaWeiboUtils] [207]- 获取专辑下所有相册地址完成, 共 [3] 个相册.
[2017-10-21 17:50:21 023] [INFO ] [exp.qw.utils.SinaWeiboUtils] [141]- 开始爬取相册 [头像相册] : [http://photo.weibo.com/3064280845/albums/detail/album_id/3573512371651105].
[2017-10-21 17:51:40 421] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/头像相册/1508579500401.jpg] 成功, 来源: [http://ww2.sinaimg.cn/large/b6a5370djw8e49xc64gijj205k05k3yc.jpg]
[2017-10-21 17:51:40 421] [INFO ] [exp.qw.utils.SinaWeiboUtils] [158]- 爬取相册 [头像相册] 完成, 共爬取 [38] 张照片.
[2017-10-21 17:51:40 421] [INFO ] [exp.qw.utils.SinaWeiboUtils] [122]- 爬取相册 [头像相册] 完成, 避免反爬, 休眠30秒.
[2017-10-21 17:52:10 422] [INFO ] [exp.qw.utils.SinaWeiboUtils] [122]- 爬取相册 [默认专辑] 完成, 避免反爬, 休眠30秒.
[2017-10-21 17:52:40 422] [INFO ] [exp.qw.utils.SinaWeiboUtils] [141]- 开始爬取相册 [微博配图] : [http://photo.weibo.com/3064280845/talbum/index].
[2017-10-21 17:52:40 422] [INFO ] [exp.qw.utils.SinaWeiboUtils] [233]- 正在扫描相册 [微博配图] 第 [1] 页中的所有图片地址...
[2017-10-21 17:52:43 587] [INFO ] [exp.qw.utils.SinaWeiboUtils] [247]- 正在等待页面加载图片地址...
[2017-10-21 17:52:44 290] [INFO ] [exp.qw.utils.SinaWeiboUtils] [263]- 扫描相册 [微博配图] 第 [1] 页中的所有图片地址完成.
[2017-10-21 17:52:44 327] [INFO ] [exp.qw.utils.SinaWeiboUtils] [266]- 正在翻到相册 [微博配图] 下一页...
[2017-10-21 17:52:54 327] [INFO ] [exp.qw.utils.SinaWeiboUtils] [233]- 正在扫描相册 [微博配图] 第 [2] 页中的所有图片地址...
[2017-10-21 17:52:56 858] [INFO ] [exp.qw.utils.SinaWeiboUtils] [247]- 正在等待页面加载图片地址...
[2017-10-21 17:52:57 547] [INFO ] [exp.qw.utils.SinaWeiboUtils] [263]- 扫描相册 [微博配图] 第 [2] 页中的所有图片地址完成.
[2017-10-21 17:52:57 591] [INFO ] [exp.qw.utils.SinaWeiboUtils] [266]- 正在翻到相册 [微博配图] 下一页...
[2017-10-21 17:53:07 591] [INFO ] [exp.qw.utils.SinaWeiboUtils] [233]- 正在扫描相册 [微博配图] 第 [3] 页中的所有图片地址...
[2017-10-21 17:53:09 952] [INFO ] [exp.qw.utils.SinaWeiboUtils] [247]- 正在等待页面加载图片地址...
[2017-10-21 17:53:10 573] [INFO ] [exp.qw.utils.SinaWeiboUtils] [263]- 扫描相册 [微博配图] 第 [3] 页中的所有图片地址完成.
[2017-10-21 17:53:11 415] [WARN ] [exp.qw.utils.SinaWeiboUtils] [286]- 相册 [微博配图] 已到最后一页.
[2017-10-21 17:53:13 287] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579592866.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fkpxfiahf5j20hr0ho0u2.jpg]
[2017-10-21 17:53:14 841] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579594813.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fko3rdeasaj20c80c8jrl.jpg]
[2017-10-21 17:53:17 000] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579596970.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fko3rdiwb5j20c80c8dg2.jpg]
[2017-10-21 17:53:18 101] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579598078.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fko3rdoibtj20c80c8t8v.jpg]
[2017-10-21 17:53:19 561] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579599532.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fko3rds306j20c80c8wem.jpg]
[2017-10-21 17:53:23 004] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579602901.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fknjb951bgj20qo1ben3x.jpg]
[2017-10-21 17:53:25 139] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579604802.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fknjb9yugpj20qo1beq9v.jpg]
[2017-10-21 17:53:27 026] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579606909.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fknjban2fwj20qo1be0yj.jpg]
[2017-10-21 17:53:29 100] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579608920.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fkicnm4i97j20qo1ben2r.jpg]
[2017-10-21 17:53:30 783] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579610759.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fkicnzujv5j205b05iaa1.jpg]
[2017-10-21 17:53:33 177] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579613147.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fkicnzyapej209q09qt91.jpg]
[2017-10-21 17:53:34 863] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579614816.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fkgmvlouh7j20ni0hs765.jpg]
[2017-10-21 17:53:36 500] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579616465.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fkghkppzxgj201p01t3ya.jpg]
[2017-10-21 17:53:37 934] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579617910.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fkghkpsmvaj202d026a9v.jpg]
[2017-10-21 17:53:40 161] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579620144.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fkc4lnut33j202d02ndfn.jpg]
[2017-10-21 17:53:41 901] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579621841.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fk9mzy1v3bj20k00zkdjz.jpg]
[2017-10-21 17:53:44 995] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579624926.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fk9mzyaf03j20k00zkwh2.jpg]
[2017-10-21 17:53:47 040] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579626992.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fk9mzyhybhj20k00qomzn.jpg]
[2017-10-21 17:53:49 177] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579629136.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fk9mzyov11j20k00qo40v.jpg]
[2017-10-21 17:53:51 682] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579631612.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fk9mzz36x6j20qo0qoq7e.jpg]
[2017-10-21 17:53:53 245] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579633114.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fk9mzzo2zoj21bf0qo10z.jpg]
[2017-10-21 17:53:55 204] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579635157.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fk1w4bva11j20hs0hsdgq.jpg]
[2017-10-21 17:53:56 903] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579636837.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fjn3yejaa8j20qo0qoad9.jpg]
[2017-10-21 17:53:59 494] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579639401.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fjgy5fn3uoj20qo0zk43l.jpg]
[2017-10-21 17:54:01 013] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579640901.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fjgy5fyc3xj20qo0zkgqx.jpg]
[2017-10-21 17:54:03 662] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579643530.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fjgy5g8h6rj20qo0zkdko.jpg]
[2017-10-21 17:54:06 120] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579645967.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fjgy5glyjij20qo0zkgr2.jpg]
[2017-10-21 17:54:08 803] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579648725.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fjgy5gyeykj20qo0zkaf9.jpg]
[2017-10-21 17:54:12 259] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579652189.jpg] 成功, 来源: [http://wx3.sinaimg.cn/large/b6a5370dgy1fjgy5h9k5qj20qo0zk0xz.jpg]
[2017-10-21 17:54:13 521] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579653486.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fizgjmcub2j20qo0qoq4b.jpg]
[2017-10-21 17:54:16 152] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579656016.jpg] 成功, 来源: [http://wx4.sinaimg.cn/large/b6a5370dgy1fivbycj7xvj21400qo43b.jpg]
[2017-10-21 17:54:17 541] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579657483.jpg] 成功, 来源: [http://wx1.sinaimg.cn/large/b6a5370dgy1fivbycb25sj20qo140gpu.jpg]
[2017-10-21 17:54:19 505] [INFO ] [exp.libs.warp.net.http.HttpUtils] [258]- 下载文件 [./downloads/微博配图/1508579659382.jpg] 成功, 来源: [http://wx2.sinaimg.cn/large/b6a5370dgy1fivbycsn1sj20qo14044w.jpg]
